Year,Geography,Value
2014,england,7.4
2015,england,6.3
2016,england,6.7
2017,england,6.4
2018,england,5.6
2019,england,9.5
2020,england,9.5
2021,england,9.0
1960,wales,11.5
1961,wales,5.9
1962,wales,7.0
1963,wales,4.8
1964,wales,5.5
1965,wales,10.7
1966,wales,7.5
1967,wales,10.7
1968,wales,9.7
1969,wales,8.7
1970,wales,7.2
1971,wales,8.0
1972,wales,8.7
1973,wales,7.1
1974,wales,8.7
1975,wales,5.4
1976,wales,6.1
1977,wales,8.1
1978,wales,6.3
1979,wales,8.9
1980,wales,9.4
1981,wales,11.3
1982,wales,11.9
1983,wales,9.4
1984,wales,8.6
1985,wales,8.3
1986,wales,10.4
1987,wales,8.8
1988,wales,8.2
1989,wales,10.1
1990,wales,8.7
1991,wales,9.2
1992,wales,9.5
1993,wales,9.0
1994,wales,9.3
1995,wales,7.4
1996,wales,6.0
1997,wales,7.9
1998,wales,11.8
1999,wales,11.0
2000,wales,13.7
2001,wales,8.1
2002,wales,11.5
2003,wales,5.4
2004,wales,11.1
2005,wales,8.5
2006,wales,8.3
2007,wales,10.0
2008,wales,12.0
2009,wales,9.2
2010,wales,5.7
2011,wales,4.2
2012,wales,10.7
2013,wales,8.6
2014,wales,7.5
2015,wales,7.4
2016,wales,7.1
2017,wales,6.0
2018,wales,7.7
2019,wales,10.4
2020,wales,12.2
2021,wales,12.1
1960,scotland,7.2
1961,scotland,8.7
1962,scotland,10.5
1963,scotland,6.8
1964,scotland,7.6
1965,scotland,8.5
1966,scotland,9.9
1967,scotland,9.2
1968,scotland,8.4
1969,scotland,6.4
1970,scotland,9.3
1971,scotland,6.6
1972,scotland,5.5
1973,scotland,8.1
1974,scotland,7.4
1975,scotland,7.2
1976,scotland,7.8
1977,scotland,9.3
1978,scotland,9.2
1979,scotland,9.5
1980,scotland,10.2
1981,scotland,11.0
1982,scotland,12.6
1983,scotland,9.5
1984,scotland,11.2
1985,scotland,10.7
1986,scotland,11.3
1987,scotland,9.3
1988,scotland,9.9
1989,scotland,9.9
1990,scotland,15.4
1991,scotland,11.0
1992,scotland,11.8
1993,scotland,11.3
1994,scotland,9.2
1995,scotland,11.2
1996,scotland,8.3
1997,scotland,11.1
1998,scotland,13.2
1999,scotland,14.0
2000,scotland,13.0
2001,scotland,8.0
2002,scotland,11.5
2003,scotland,6.0
2004,scotland,12.1
2005,scotland,12.4
2006,scotland,12.9
2007,scotland,10.8
2008,scotland,13.1
2009,scotland,11.9
2010,scotland,8.4
2011,scotland,14.0
2012,scotland,12.2
2013,scotland,10.1
2014,scotland,12.8
2015,scotland,14.3
2016,scotland,9.7
2017,scotland,7.6
2018,scotland,8.3
2019,scotland,11.3
2020,scotland,14.1
2021,scotland,10.6
1960,northern-ireland,10.3
1961,northern-ireland,9.7
1962,northern-ireland,9.7
1963,northern-ireland,10.8
1964,northern-ireland,8.0
1965,northern-ireland,10.1
1966,northern-ireland,11.7
1967,northern-ireland,7.9
1968,northern-ireland,10.4
1969,northern-ireland,6.0
1970,northern-ireland,7.6
1971,northern-ireland,7.9
1972,northern-ireland,8.2
1973,northern-ireland,8.1
1974,northern-ireland,7.6
1975,northern-ireland,4.4
1976,northern-ireland,9.8
1977,northern-ireland,7.6
1978,northern-ireland,10.5
1979,northern-ireland,9.2
1980,northern-ireland,7.4
1981,northern-ireland,11.5
1982,northern-ireland,9.4
1983,northern-ireland,4.7
1984,northern-ireland,8.5
1985,northern-ireland,9.1
1986,northern-ireland,10.8
1987,northern-ireland,9.4
1988,northern-ireland,12.2
1989,northern-ireland,7.0
1990,northern-ireland,10.8
1991,northern-ireland,9.9
1992,northern-ireland,9.7
1993,northern-ireland,11.2
1994,northern-ireland,7.1
1995,northern-ireland,12.0
1996,northern-ireland,9.5
1997,northern-ireland,9.1
1998,northern-ireland,10.2
1999,northern-ireland,12.2
2000,northern-ireland,10.3
2001,northern-ireland,4.6
2002,northern-ireland,14.9
2003,northern-ireland,7.5
2004,northern-ireland,10.3
2005,northern-ireland,10.3
2006,northern-ireland,8.6
2007,northern-ireland,9.2
2008,northern-ireland,11.9
2009,northern-ireland,12.1
2010,northern-ireland,11.7
2011,northern-ireland,11.6
2012,northern-ireland,10.3
2013,northern-ireland,10.6
2014,northern-ireland,13.6
2015,northern-ireland,13.0
2016,northern-ireland,6.4
2017,northern-ireland,10.2
2018,northern-ireland,9.7
2019,northern-ireland,12.1
2020,northern-ireland,12.8
2021,northern-ireland,10.9
1960,uk-trend,7.4
1961,uk-trend,7.4
1962,uk-trend,7.4
1963,uk-trend,7.4
1964,uk-trend,7.3
1965,uk-trend,7.3
1966,uk-trend,7.3
1967,uk-trend,7.3
1968,uk-trend,7.4
1969,uk-trend,7.4
1970,uk-trend,7.4
1971,uk-trend,7.4
1972,uk-trend,7.4
1973,uk-trend,7.5
1974,uk-trend,7.5
1975,uk-trend,7.6
1976,uk-trend,7.6
1977,uk-trend,7.7
1978,uk-trend,7.8
1979,uk-trend,7.9
1980,uk-trend,8.0
1981,uk-trend,8.1
1982,uk-trend,8.1
1983,uk-trend,8.2
1984,uk-trend,8.3
1985,uk-trend,8.3
1986,uk-trend,8.4
1987,uk-trend,8.5
1988,uk-trend,8.5
1989,uk-trend,8.6
1990,uk-trend,8.6
1991,uk-trend,8.6
1992,uk-trend,8.7
1993,uk-trend,8.7
1994,uk-trend,8.7
1995,uk-trend,8.7
1996,uk-trend,8.8
1997,uk-trend,8.8
1998,uk-trend,8.9
1999,uk-trend,8.9
2000,uk-trend,8.9
2001,uk-trend,8.9
2002,uk-trend,8.9
2003,uk-trend,8.9
2004,uk-trend,8.9
2005,uk-trend,8.9
2006,uk-trend,8.9
2007,uk-trend,9.0
2008,uk-trend,9.0
2009,uk-trend,9.0
2010,uk-trend,9.0
2011,uk-trend,9.0
2012,uk-trend,9.0
2013,uk-trend,9.0
2014,uk-trend,9.0
2015,uk-trend,9.0
2016,uk-trend,9.0
2017,uk-trend,9.0
2018,uk-trend,9.0
2019,uk-trend,9.1
2020,uk-trend,9.1
2021,uk-trend,9.1
1960,england-trend,6.6
1961,england-trend,6.6
1962,england-trend,6.6
1963,england-trend,6.5
1964,england-trend,6.5
1965,england-trend,6.5
1966,england-trend,6.6
1967,england-trend,6.6
1968,england-trend,6.6
1969,england-trend,6.6
1970,england-trend,6.6
1971,england-trend,6.6
1972,england-trend,6.6
1973,england-trend,6.6
1974,england-trend,6.6
1975,england-trend,6.7
1976,england-trend,6.7
1977,england-trend,6.8
1978,england-trend,6.8
1979,england-trend,6.8
1980,england-trend,6.9
1981,england-trend,6.9
1982,england-trend,6.9
1983,england-trend,6.9
1984,england-trend,6.9
1985,england-trend,6.9
1986,england-trend,6.9
1987,england-trend,7.0
1988,england-trend,7.0
1989,england-trend,7.0
1990,england-trend,7.0
1991,england-trend,7.1
1992,england-trend,7.1
1993,england-trend,7.1
1994,england-trend,7.1
1995,england-trend,7.2
1996,england-trend,7.2
1997,england-trend,7.2
1998,england-trend,7.3
1999,england-trend,7.4
2000,england-trend,7.4
2001,england-trend,7.4
2002,england-trend,7.4
2003,england-trend,7.4
2004,england-trend,7.4
2005,england-trend,7.4
2006,england-trend,7.4
2007,england-trend,7.4
2008,england-trend,7.4
2009,england-trend,7.4
2010,england-trend,7.4
2011,england-trend,7.5
2012,england-trend,7.5
2013,england-trend,7.5
2014,england-trend,7.5
2015,england-trend,7.5
2016,england-trend,7.5
2017,england-trend,7.6
2018,england-trend,7.6
2019,england-trend,7.7
2020,england-trend,7.7
2021,england-trend,7.7
1960,wales-trend,8.0
1961,wales-trend,8.0
1962,wales-trend,7.9
1963,wales-trend,7.9
1964,wales-trend,7.9
1965,wales-trend,7.9
1966,wales-trend,7.9
1967,wales-trend,8.0
1968,wales-trend,8.0
1969,wales-trend,8.0
1970,wales-trend,8.1
1971,wales-trend,8.1
1972,wales-trend,8.2
1973,wales-trend,8.2
1974,wales-trend,8.2
1975,wales-trend,8.2
1976,wales-trend,8.3
1977,wales-trend,8.4
1978,wales-trend,8.5
1979,wales-trend,8.6
1980,wales-trend,8.7
1981,wales-trend,8.8
1982,wales-trend,8.8
1983,wales-trend,8.9
1984,wales-trend,8.9
1985,wales-trend,9.0
1986,wales-trend,9.0
1987,wales-trend,9.1
1988,wales-trend,9.1
1989,wales-trend,9.2
1990,wales-trend,9.2
1991,wales-trend,9.2
1992,wales-trend,9.2
1993,wales-trend,9.2
1994,wales-trend,9.2
1995,wales-trend,9.2
1996,wales-trend,9.2
1997,wales-trend,9.2
1998,wales-trend,9.3
1999,wales-trend,9.3
2000,wales-trend,9.3
2001,wales-trend,9.2
2002,wales-trend,9.2
2003,wales-trend,9.1
2004,wales-trend,9.0
2005,wales-trend,9.0
2006,wales-trend,8.9
2007,wales-trend,8.9
2008,wales-trend,8.9
2009,wales-trend,8.8
2010,wales-trend,8.8
2011,wales-trend,8.8
2012,wales-trend,8.8
2013,wales-trend,8.7
2014,wales-trend,8.7
2015,wales-trend,8.7
2016,wales-trend,8.7
2017,wales-trend,8.8
2018,wales-trend,8.8
2019,wales-trend,8.9
2020,wales-trend,8.9
2021,wales-trend,9.0
1960,scotland-trend,8.3
1961,scotland-trend,8.3
1962,scotland-trend,8.3
1963,scotland-trend,8.2
1964,scotland-trend,8.2
1965,scotland-trend,8.2
1966,scotland-trend,8.2
1967,scotland-trend,8.2
1968,scotland-trend,8.2
1969,scotland-trend,8.2
1970,scotland-trend,8.2
1971,scotland-trend,8.3
1972,scotland-trend,8.3
1973,scotland-trend,8.5
1974,scotland-trend,8.6
1975,scotland-trend,8.7
1976,scotland-trend,8.9
1977,scotland-trend,9.0
1978,scotland-trend,9.2
1979,scotland-trend,9.4
1980,scotland-trend,9.6
1981,scotland-trend,9.8
1982,scotland-trend,10.0
1983,scotland-trend,10.1
1984,scotland-trend,10.3
1985,scotland-trend,10.4
1986,scotland-trend,10.6
1987,scotland-trend,10.7
1988,scotland-trend,10.8
1989,scotland-trend,10.9
1990,scotland-trend,11.0
1991,scotland-trend,11.0
1992,scotland-trend,11.0
1993,scotland-trend,11.0
1994,scotland-trend,11.0
1995,scotland-trend,11.1
1996,scotland-trend,11.1
1997,scotland-trend,11.1
1998,scotland-trend,11.2
1999,scotland-trend,11.2
2000,scotland-trend,11.2
2001,scotland-trend,11.2
2002,scotland-trend,11.2
2003,scotland-trend,11.2
2004,scotland-trend,11.3
2005,scotland-trend,11.3
2006,scotland-trend,11.3
2007,scotland-trend,11.3
2008,scotland-trend,11.3
2009,scotland-trend,11.4
2010,scotland-trend,11.3
2011,scotland-trend,11.4
2012,scotland-trend,11.3
2013,scotland-trend,11.3
2014,scotland-trend,11.2
2015,scotland-trend,11.2
2016,scotland-trend,11.2
2017,scotland-trend,11.1
2018,scotland-trend,11.1
2019,scotland-trend,11.1
2020,scotland-trend,11.1
2021,scotland-trend,11.1
1960,northern-ireland-trend,9.5
1961,northern-ireland-trend,9.4
1962,northern-ireland-trend,9.4
1963,northern-ireland-trend,9.3
1964,northern-ireland-trend,9.2
1965,northern-ireland-trend,9.2
1966,northern-ireland-trend,9.1
1967,northern-ireland-trend,9.0
1968,northern-ireland-trend,8.8
1969,northern-ireland-trend,8.7
1970,northern-ireland-trend,8.6
1971,northern-ireland-trend,8.5
1972,northern-ireland-trend,8.5
1973,northern-ireland-trend,8.4
1974,northern-ireland-trend,8.4
1975,northern-ireland-trend,8.4
1976,northern-ireland-trend,8.5
1977,northern-ireland-trend,8.5
1978,northern-ireland-trend,8.6
1979,northern-ireland-trend,8.6
1980,northern-ireland-trend,8.7
1981,northern-ireland-trend,8.8
1982,northern-ireland-trend,8.8
1983,northern-ireland-trend,8.9
1984,northern-ireland-trend,9.0
1985,northern-ireland-trend,9.2
1986,northern-ireland-trend,9.3
1987,northern-ireland-trend,9.4
1988,northern-ireland-trend,9.5
1989,northern-ireland-trend,9.5
1990,northern-ireland-trend,9.6
1991,northern-ireland-trend,9.6
1992,northern-ireland-trend,9.7
1993,northern-ireland-trend,9.7
1994,northern-ireland-trend,9.8
1995,northern-ireland-trend,9.8
1996,northern-ireland-trend,9.9
1997,northern-ireland-trend,9.9
1998,northern-ireland-trend,10.0
1999,northern-ireland-trend,10.0
2000,northern-ireland-trend,10.1
2001,northern-ireland-trend,10.1
2002,northern-ireland-trend,10.2
2003,northern-ireland-trend,10.2
2004,northern-ireland-trend,10.3
2005,northern-ireland-trend,10.3
2006,northern-ireland-trend,10.4
2007,northern-ireland-trend,10.5
2008,northern-ireland-trend,10.5
2009,northern-ireland-trend,10.6
2010,northern-ireland-trend,10.7
2011,northern-ireland-trend,10.8
2012,northern-ireland-trend,10.8
2013,northern-ireland-trend,10.9
2014,northern-ireland-trend,10.9
2015,northern-ireland-trend,10.9
2016,northern-ireland-trend,10.9
2017,northern-ireland-trend,10.9
2018,northern-ireland-trend,11.0
2019,northern-ireland-trend,11.0
2020,northern-ireland-trend,11.0
2021,northern-ireland-trend,11.1
